Uniprot,GeneName
Q9H0H5,KIAA1478
Q9H0H5,MGCRACGAP
Q5W5W9,RESP18
P10745,RBP3
P52758,RIDA
P52758,HRSP12
Q96L33,RHOV
Q96L33,ARHV
Q96L33,WRCH2
P18621,RPL17
Q96EL3,MRPL53
P62945,RPL41
O15514,POLR2D
Q8NGI6,OR4D10
Q8NGI6,OR4D10P
Q8NGP0,OR4C13
Q8NGV6,OR5H6
P48739,PITPNB
O00264,PGRMC1
O00264,HPR6.6
O00264,PGRMC
Q5SV97,PERM1
Q5SV97,C1orf170
O15428,PIN1P1
O15428,PIN1L
Q6NUP7,PPP4R4
Q6NUP7,KIAA1622
Q6NUP7,PP4R4
Q6XQN6,NAPRT
Q6XQN6,FHIP
Q6XQN6,NAPRT1
Q9H792,PEAK1
Q9H792,KIAA2002
Q8N7P1,PLD5
Q5VZY2,PLPP4
Q5VZY2,DPPL2
Q5VZY2,PPAPDC1
Q5VZY2,PPAPDC1A
Q9Y244,POMP
Q9Y244,C13orf12
Q9Y244,UMP1
Q9Y244,HSPC014
Q9Y244,HSPC036
Q9Y244,PNAS-110
Q9P0L9,PKD2L1
Q9P0L9,PKD2L
Q9P0L9,PKDL
Q9P0L9,TRPP3
Q0VAA5,PLCXD2
Q86YW0,PLCZ1
Q9NRZ7,AGPAT3
Q9NRZ7,LPAAT3
Q9NRZ7,UNQ759/PRO1490
Q3B8N5,PROX2
Q8N271,PROM2
Q8N271,PROML2
Q8N271,UNQ2521/PRO6014
P21108,PRPS1L1
P21108,PRPS3
P21108,PRPSL
P28072,PSMB6
P28072,LMPY
P28072,Y
Q9BRX5,GINS3
Q9BRX5,PSF3
O00232,PSMD12
Q9Y3L5,RAP2C
Q6UW15,REG3G
Q6UW15,PAP1B
Q6UW15,UNQ429/PRO162
A0A1B0GV85,REELD1
Q9P260,RELCH
Q9P260,KIAA1468
Q7Z6M1,RABEPK
Q7Z6M1,RAB9P40
Q14964,RAB39A
Q14964,RAB39
Q6ZRY4,RBPMS2
P20339,RAB5A
P20339,RAB5
O14559,ARHGAP33
O14559,SNX26
O14559,TCGAP
A6NI28,ARHGAP42
A6NI28,GRAF3
A6NI28,TMEM133
Q96EV2,RBM33
Q96EV2,PRR8
O14924,RGS12
O94955,RHOBTB3
O94955,KIAA0878
Q92963,RIT1
Q92963,RIBB
Q92963,RIT
Q92963,ROC1
Q96L21,RPL10L
Q96DV4,MRPL38
Q96DV4,HSPC262
Q7L0R7,RNF44
Q7L0R7,KIAA1100
Q969K3,RNF34
Q96GF1,RNF185
Q96T23,RSF1
Q96T23,HBXAP
Q96T23,XAP8
Q9NPB1,NT5M
Q9NPB1,DNT2
Q9NZP2,OR6C2
Q8NGR9,OR1N2
Q8NGL3,OR5D14
P47883,OR3A4P
P47883,OR3A4
P47883,OR3A5P
Q9P121,NTM
Q9P121,IGLON2
Q9P121,NT
Q9P121,UNQ297/PRO337
Q13492,PICALM
Q13492,CALM
P78356,PIP4K2B
P78356,PIP5K2B
Q8TCD6,PHOSPHO2
Q9BSJ6,PIMREG
Q9BSJ6,CATS
Q9BSJ6,FAM64A
Q9BSJ6,RCS1
Q5SRE7,PHYHD1
E7EU14,PPP5D1
O60486,PLXNC1
O60486,VESPR
P16112,ACAN
P16112,AGC1
P16112,CSPG1
P16112,MSK16
P30086,PEBP1
P30086,PBP
P30086,PEBP
Q8IXQ8,PDZD9
Q8IXQ8,C16orf65
O15031,PLXNB2
O15031,KIAA0315
O95744,PMS2P2
O95744,PMS2L14
O95744,PMS2L2
O95744,PMS4
Q8TCS8,PNPT1
Q8TCS8,PNPASE
Q9UG56,PISD
Q8NG27,PJA1
Q8NG27,RNF70
Q6MZQ0,PRR5L
Q6MZQ0,PROTOR2
Q15147,PLCB4
Q86WR7,PROSER2
Q86WR7,C10orf47
Q6ZRP0,PRR23C
O75360,PROP1
B1ATL7,PRR32
B1ATL7,CXorf64
P79522,PRR3
P79522,CAT56
O60828,PQBP1
O60828,NPW38
O60828,JM26
Q9NQV6,PRDM10
Q9NQV6,KIAA1231
Q9NQV6,PFM7
Q9NQV6,TRIS
Q5VV67,PPRC1
Q5VV67,KIAA0595
P57071,PRDM15
P57071,C21orf83
P57071,ZNF298
Q9NYI0,PSD3
Q9NYI0,EFA6D
Q9NYI0,EFA6R
Q9NYI0,HCA67
Q9NYI0,KIAA0942
P22234,PAICS
P22234,ADE2
P22234,AIRC
P22234,PAIS
Q96A99,PTX4
Q96A99,C16orf38
Q06323,PSME1
Q06323,IFI5111
A0A096LP55,UQCRHL
Q14644,RASA3
O14807,MRAS
O14807,RRAS3
Q15415,RBMY1F
Q15415,YRRM2;
Q15415,RBMY1J
P04808,RLN1
P61574,HERVK_113
Q96S59,RANBP9
Q96S59,RANBPM
Q9NX57,RAB20
Q9UNA1,ARHGAP26
Q9UNA1,GRAF
Q9UNA1,KIAA0621
Q9UNA1,OPHN1L
O75677,RFPL1
O75677,RFPL1L
O75677,RNF78
P49796,RGS3
Q9UFD9,RIMBP3
Q9UFD9,KIAA1666
Q9UFD9,RIMBP3A
Q8NFH8,REPS2
Q8NFH8,POB1
Q9BYD3,MRPL4
Q9BYD3,CDABP0091
Q9BYD3,CGI-28
O75792,RNASEH2A
O75792,RNASEHI
O75792,RNHIA
Q6ZMZ0,RNF19B
Q6ZMZ0,IBRDC3
Q6ZMZ0,NKLAM
P07998,RNASE1
P07998,RIB1
P07998,RNS1
Q86VF7,NRAP
Q8NGN1,OR6T1
Q9GZY6,LAT2
Q9GZY6,LAB
Q9GZY6,NTAL
Q9GZY6,WBS15
Q9GZY6,WBSCR15
Q9GZY6,WBSCR5
Q9GZY6,HSPC046
Q8NH64,OR51A7
A6NHA9,OR4C46
Q9H255,OR51E2
Q9H255,PSGR
P78380,OLR1
P78380,CLEC8A
P78380,LOX1
Q9H341,OR51M1
Q8IWE2,FAM114A1
Q8IWE2,NOXP20
Q86UW2,SLC51B
Q86UW2,OSTB
Q8NGF3,OR51D1
Q8N2R0,OSR2
P56373,P2RX3
Q8NGI3,OR56B1
Q8NGI3,OR56B1P
